date_CME,halfAngle_CME,speed_CME,type_CME
2024-01-01,26.0,416.0,S
2024-01-02,40.0,617.0,C
2024-01-02,31.0,462.0,S
2024-01-02,15.0,206.0,S
2024-01-03,41.0,413.0,S
2024-01-03,33.0,383.0,S
2024-01-04,45.0,732.0,C
2024-01-04,22.0,893.0,C
2024-01-04,40.0,364.0,S
2024-01-04,10.0,384.0,S
2024-01-05,22.0,552.0,C
2024-01-05,11.0,315.0,S
2024-01-05,16.0,399.0,S
2024-01-05,14.0,494.0,S
2024-01-06,10.0,706.0,C
2024-01-06,25.0,545.0,C
2024-01-06,23.0,359.0,S
2024-01-06,17.0,729.0,C
2024-01-06,36.0,451.0,S
2024-01-06,32.0,389.0,S
2024-01-08,31.0,571.0,C
2024-01-08,41.0,512.0,C
2024-01-09,32.0,287.0,S
2024-01-09,30.0,389.0,S
2024-01-09,32.0,624.0,C
2024-01-09,34.0,580.0,C
2024-01-09,41.0,674.0,C
2024-01-09,10.0,574.0,C
2024-01-09,42.0,332.0,S
2024-01-10,30.0,402.0,S
2024-01-10,10.0,660.0,C
2024-01-10,19.0,434.0,S
2024-01-10,28.0,422.0,S
2024-01-10,36.0,492.0,S
2024-01-10,30.0,981.0,C
2024-01-10,27.0,422.0,S
2024-01-11,31.0,633.0,C
2024-01-11,29.0,462.0,S
2024-01-11,10.0,551.0,C
2024-01-11,28.0,574.0,C
2024-01-12,19.0,460.0,S
2024-01-12,24.0,420.0,S
2024-01-12,29.0,513.0,C
2024-01-12,26.0,227.0,S
2024-01-12,14.0,529.0,C
2024-01-12,43.0,900.0,C
2024-01-13,23.0,280.0,S
2024-01-13,18.0,315.0,S
2024-01-14,34.0,295.0,S
2024-01-14,37.0,948.0,C
2024-01-15,25.0,639.0,C
2024-01-16,35.0,400.0,S
2024-01-16,24.0,332.0,S
2024-01-17,36.0,471.0,S
2024-01-17,27.0,434.0,S
2024-01-17,28.0,432.0,S
2024-01-18,28.0,772.0,C
2024-01-19,31.0,341.0,S
2024-01-20,47.0,978.0,C
2024-01-20,35.0,584.0,C
2024-01-20,42.0,413.0,S
2024-01-20,34.0,458.0,S
2024-01-21,45.0,1068.0,O
2024-01-21,10.0,1180.0,O
2024-01-21,41.0,280.0,S
2024-01-22,22.0,526.0,C
2024-01-22,42.0,746.0,C
2024-01-22,31.0,360.0,S
2024-01-22,22.0,474.0,S
2024-01-22,45.0,654.0,C
2024-01-22,20.0,563.0,C
2024-01-23,30.0,771.0,C
2024-01-23,42.0,613.0,C
2024-01-23,29.0,267.0,S
2024-01-23,37.0,577.0,C
2024-01-23,20.0,696.0,C
2024-01-23,29.0,629.0,C
2024-01-23,40.0,562.0,C
2024-01-24,27.0,524.0,C
2024-01-24,25.0,428.0,S
2024-01-24,12.0,616.0,C
2024-01-24,40.0,207.0,S
2024-01-24,21.0,370.0,S
2024-01-25,28.0,335.0,S
2024-01-25,31.0,292.0,S
2024-01-26,18.0,426.0,S
2024-01-27,30.0,534.0,C
2024-01-27,41.0,451.0,S
2024-01-27,20.0,292.0,S
2024-01-27,30.0,300.0,S
2024-01-27,47.0,441.0,S
2024-01-27,45.0,454.0,S
2024-01-27,28.0,321.0,S
2024-01-28,47.0,512.0,C
2024-01-28,16.0,1197.0,O
2024-01-28,24.0,675.0,C
2024-01-28,16.0,365.0,S
2024-01-29,20.0,936.0,C
2024-01-29,54.0,1277.0,O
2024-01-29,35.0,396.0,S
2024-01-29,35.0,657.0,C
2024-01-29,15.0,464.0,S
2024-01-29,34.0,284.0,S
2024-01-29,22.0,826.0,C
2024-01-30,18.0,563.0,C
2024-01-30,20.0,594.0,C
2024-01-30,36.0,209.0,S
2024-01-30,30.0,281.0,S
2024-01-30,27.0,327.0,S
2024-01-30,45.0,1014.0,O
2024-01-31,15.0,342.0,S
2024-01-31,20.0,449.0,S
2024-01-31,16.0,902.0,C
2024-01-31,18.0,851.0,C
2024-01-31,37.0,647.0,C
2024-01-31,14.0,819.0,C
2024-02-01,32.0,485.0,S
2024-02-01,45.0,920.0,C
2024-02-01,29.0,662.0,C
2024-02-01,39.0,411.0,S
2024-02-01,28.0,732.0,C
2024-02-02,40.0,537.0,C
2024-02-02,18.0,359.0,S
2024-02-02,19.0,818.0,C
2024-02-02,32.0,1815.0,O
2024-02-02,23.0,613.0,C
2024-02-03,12.0,1316.0,O
2024-02-05,48.0,782.0,C
2024-02-06,52.0,857.0,C
2024-02-06,49.0,1479.0,O
2024-02-06,30.0,479.0,S
2024-02-06,19.0,323.0,S
2024-02-06,31.0,886.0,C
2024-02-07,39.0,1126.0,O
2024-02-07,20.0,588.0,C
2024-02-07,10.0,471.0,S
2024-02-08,19.0,916.0,C
2024-02-08,21.0,656.0,C
2024-02-08,19.0,762.0,C
2024-02-08,42.0,526.0,C
2024-02-08,23.0,559.0,C
2024-02-08,30.0,929.0,C
2024-02-09,25.0,655.0,C
2024-02-09,48.0,2534.0,R
2024-02-09,30.0,260.0,S
2024-02-10,46.0,1276.0,O
2024-02-10,39.0,967.0,C
2024-02-10,31.0,314.0,S
2024-02-10,21.0,304.0,S
2024-02-10,34.0,912.0,C
2024-02-11,15.0,585.0,C
2024-02-11,27.0,343.0,S
2024-02-11,39.0,870.0,C
2024-02-12,31.0,607.0,C
2024-02-12,32.0,317.0,S
2024-02-12,19.0,457.0,S
2024-02-12,49.0,3529.0,ER
2024-02-12,49.0,750.0,C
2024-02-12,22.0,679.0,C
2024-02-12,31.0,554.0,C
2024-02-12,50.0,999.0,C
2024-02-13,18.0,791.0,C
2024-02-14,27.0,352.0,S
2024-02-14,43.0,2012.0,R
2024-02-14,39.0,341.0,S
2024-02-14,16.0,428.0,S
2024-02-15,36.0,376.0,S
2024-02-15,19.0,276.0,S
2024-02-15,45.0,1953.0,O
2024-02-15,43.0,215.0,S
2024-02-15,34.0,570.0,C
2024-02-16,45.0,1613.0,O
2024-02-16,38.0,726.0,C
2024-02-16,45.0,681.0,C
2024-02-16,25.0,565.0,C
2024-02-16,13.0,563.0,C
2024-02-17,45.0,1646.0,O
2024-02-18,24.0,660.0,C
2024-02-18,35.0,1164.0,O
2024-02-18,16.0,725.0,C
2024-02-19,33.0,344.0,S
2024-02-19,42.0,270.0,S
2024-02-19,35.0,761.0,C
2024-02-19,22.0,527.0,C
2024-02-20,21.0,734.0,C
2024-02-21,23.0,1116.0,O
2024-02-21,30.0,906.0,C
2024-02-21,31.0,880.0,C
2024-02-21,26.0,627.0,C
2024-02-21,45.0,576.0,C
2024-02-22,33.0,1151.0,O
2024-02-22,10.0,619.0,C
2024-02-22,13.0,233.0,S
2024-02-23,21.0,290.0,S
2024-02-24,39.0,368.0,S
2024-02-25,29.0,580.0,C
2024-02-25,28.0,563.0,C
2024-02-25,12.0,487.0,S
2024-02-27,30.0,347.0,S
2024-02-27,27.0,430.0,S
2024-02-27,32.0,209.0,S
2024-02-28,36.0,420.0,S
2024-02-28,28.0,867.0,C
2024-02-28,34.0,563.0,C
2024-02-28,43.0,730.0,C
2024-02-28,22.0,779.0,C
2024-02-29,36.0,322.0,S
2024-03-01,13.0,552.0,C
2024-03-01,40.0,263.0,S
2024-03-03,24.0,767.0,C
2024-03-03,10.0,554.0,C
2024-03-03,24.0,527.0,C
